904902,TROPICAL FRUIT SCHNAPPS,Hot Shot Tropical Schnapps,434,Luxco-st Louis,1000,12,1,,70,9/22/2010 0:00,,,$6.16 ,9.24,73.87
904903,IRISH WHISKIES,Midleton Rare HA,370,Pernod Ricard Usa/austin Nichols,750,6,1,,80,10/7/2010 0:00,80432534175,1.00804E+13,$79.99 ,119.99,479.94
904904,MISC. IMPORTED CORDIALS & LIQUEURS,Cabana Cachaca,305,Mhw Ltd,750,6,1,,80,10/8/2010 0:00,8.59218E+11,1.08592E+13,$15.28 ,22.92,91.68
904905,SCOTCH WHISKIES,Compass Box 50ml Tube Pack,305,Mhw Ltd,251,8,1,,92,10/8/2010 0:00,,,$24.38 ,36.57,195
904906,IMPORTED VODKA,Silver Mustang Vodka,123,Cracovia Inc,750,12,1,,80,9/1/2010 0:00,,,$15.64 ,23.46,187.7
904907,TEQUILA,Giro Tequila Gold,65,Jim Beam Brands,1000,12,1,,80,10/8/2010 0:00,,,$6.33 ,9.5,76
904908,SINGLE MALT SCOTCH,Dt Octave 1997 Bunnahabhain 12yr,391,Anchor Distilling (preiss Imports),750,1,1,,96,10/8/2010 0:00,,,$53.00 ,79.5,53
904909,TEQUILA,Sauza Tres Generaciones Reposado Minis,65,Jim Beam Brands,502,6,1,,80,10/13/2010 0:00,,,$14.27 ,21.41,85.6
904910,FLAVORED VODKA,Seagram's Sweet Tea,255,Wilson Daniels Ltd.,1000,12,1,,70,7/22/2010 0:00,,904910,$7.45 ,11.18,89.34
904911,PUERTO RICO & VIRGIN ISLANDS RUM,British Navy Pusser's Rum 84 Prf,460,Shaw Ross International Importers Ll,750,6,1,,84,10/21/2010 0:00,88320005080,904911,$12.21 ,18.32,73.28
904912,MISC. IMPORTED CORDIALS & LIQUEURS,Jumbie Liqueur,421,Sazerac Co. Inc.,750,6,1,,60,10/25/2010 0:00,7.61494E+11,904912,$14.36 ,21.54,86.15
904913,FLAVORED RUM,Calico Cherry Jack,65,Jim Beam Brands,1750,6,1,,84,10/27/2010 0:00,,1.00828E+13,$12.59 ,18.89,75.56
904914,ROOT BEER SCHNAPPS,Phillips Root Beer Schnapps,380,Phillips Beverage Company,375,12,1,,100,10/13/2010 0:00,,1.00871E+13,$4.83 ,7.25,58
904915,TENNESSEE WHISKIES,White Dog Mash #1 Whiskey,421,Sazerac Co. Inc.,375,12,1,,125,11/1/2010 0:00,,2.0088E+13,$8.28 ,12.42,99.4
904916,TEQUILA,Scorpion Mezcal Reposado,369,Park Street Imports- Caballeros,750,6,1,,80,10/21/2010 0:00,6.18053E+11,1.06181E+13,$22.66 ,33.99,135.96
904917,SINGLE MALT SCOTCH,Glenlivet Nadurra Triumph 1991,370,Pernod Ricard Usa/austin Nichols,750,6,1,,96,11/1/2010 0:00,,,$41.41 ,62.12,248.44
904918,SCOTCH WHISKIES,Dt Blackbull 12yr,391,Anchor Distilling (preiss Imports),750,1,1,,100,11/4/2010 0:00,,,$28.50 ,42.75,28.5
904919,MISC. IMPORTED CORDIALS & LIQUEURS,Cachaca 21,391,Anchor Distilling (preiss Imports),1000,1,1,,78,11/4/2010 0:00,,,$7.50 ,11.25,7.5
904920,MISC. IMPORTED CORDIALS & LIQUEURS,Toucano Rum,391,Anchor Distilling (preiss Imports),1000,1,1,,80,11/4/2010 0:00,89744407269,1.00897E+13,$17.36 ,26.04,17.36
904921,TEQUILA,1921 Tequila Blanco,109,Casa 1921 Llc,750,6,1,,80,10/21/2010 0:00,,,$23.50 ,35.25,141
904922,SINGLE MALT SCOTCH,Dt Nc2 1993 Aberlour 16yr,391,Anchor Distilling (preiss Imports),750,1,1,,92,11/4/2010 0:00,,,$43.67 ,65.51,43.67
904923,CANADIAN WHISKIES,Canadian Leaf,304,Majestic Distilling Co,1750,6,1,,80,9/17/2010 0:00,,,$7.79 ,11.69,46.76
904924,SINGLE MALT SCOTCH,Slieve Foy Irish Whiskey,391,Anchor Distilling (preiss Imports),750,6,1,,92,11/4/2010 0:00,,,$27.17 ,40.76,163
904925,PUERTO RICO & VIRGIN ISLANDS RUM,English Harbour Rum 5yr,391,Anchor Distilling (preiss Imports),750,6,1,,80,11/5/2010 0:00,,,$32.79 ,49.19,196.72
